School name,State,City,Degree of urbanization,Number of applicants,Has Early Decision (ED) Plan?,Has Early Action (EA) Plan?,Acceptance rate,ED admit rate,EA admit rate,RD admit rate,Average GPA,GPA Weighted,Percent of students with GPA (4.0+),Percent of students with GPA (3.75-3.99),Percent of students with GPA (3.00-3.24),Percent of students with GPA (3.25-3.49),Percent of students with GPA (2.00-2.49),Percent of students with GPA (Below 1.00),Percent of students with GPA (2.50-2.99),Percent of students with GPA (3.50-3.74),ACT Composite 25th,ACT Composite 50th,ACT Composite 75th,ACT English 75th,ACT Reading 75th,ACT Reading 50th,ACT English 50th,ACT English 25th,ACT Reading 25th,ACT Math 25th,ACT Science 25th,ACT Science 50th,ACT Math 50th,ACT Math 75th,ACT Science 75th,Percentage of enrolled freshmen submitting ACT scores,SAT Reading 25th,SAT Reading 50th,SAT Reading 75th,SAT Math 75th,SAT Composite 50th,SAT Composite 75th,SAT Math 50th,SAT Math 25th,SAT Composite 25th,Percentage of enrolled freshmen submitting SAT scores,Percent Women,Percent Men,Percent Non-binary,Percent Hispanic/Latino,Percent Black or African American,Percent White or Caucasian,Percent American Indian or Alaska Native,Percent Asian,Percent Native Hawaiian or Pacific Islander,Percent Other,Published in-state tuition and fees,Published out-of-state tuition and fees,Total price for in-state students living on campus,Number of men enrolled,Number of women enrolled,Number of students enrolled,Estimated undergraduate enrollment full time,4 year graduation rate,Retention rate,6 year graduation rate,Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (dollar amt),Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (percentage),Average amount of institutional grant aid received by full-time first-time undergraduates,Average net price-students receiving grant or scholarship aid,Average amount of other federal grant aid received by full-time first-time undergraduates,Average amount of Pell grant aid received by full-time first-time undergraduates,Average amount of state/local grant aid received by full-time first-time undergraduates,Average amount of student loan aid received by full-time first-time undergraduates,Average amount of federal student loan aid received by full-time first-time undergraduates,Average amount of other student loan aid received by full-time first-time undergraduates,Average amount of federal  state  local or institutional grant aid received,Percent of full-time first-time undergraduates receiving any financial aid,Percent of full-time first-time undergraduates receiving federal state local or institutional grant aid,Percent of full-time first-time undergraduates receiving other federal grant aid,Percent of full-time first-time undergraduates receiving state/local grant aid,Percent of full-time first-time undergraduates receiving Pell grants,Percent of full-time first-time undergraduates receiving any loans to students or grant aid  from federal state/local government or the institution,Percent of full-time first-time undergraduates receiving institutional grant aid,Percent of full-time first-time undergraduates receiving federal student loans,Percent of full-time first-time undergraduates receiving student loan aid,Percent of full-time first-time undergraduates receiving other loan aid,Percent of full-time first-time undergraduates  receiving federal grant aid,Average net price (income over 110 000),"Average net price (income 75,001-110,000)","Average net price (income 48,001-75,000)","Average net price (income 30,001-48,000)","Average net price (income 0-30,000)",Student
Eagle Gate College-Layton,---,Layton,---,180,---,---,89%,---,---,89%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,67%,33%,---,14%,3%,68%,1%,3%,1%,9%,"$16,548","$16,548","$16,548",1,2,---,205,44%,63%,50%,---,---,---,"$28,332",$200,"$5,917",---,"$8,167","$7,310","$12,000","$5,536",82%,41%,18%,---,41%,82%,---,82%,82%,6%,41%,---,---,---,"$34,865","$31,342",
Eagle Gate College-Murray,---,Murray,---,"1,270",---,---,38%,---,---,38%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,100%,---,---,20%,6%,48%,2%,5%,3%,16%,"$18,279","$18,279","$18,279",---,20,---,263,31%,67%,31%,---,---,---,"$19,185",$660,"$5,204",---,"$6,567","$6,567",---,"$6,224",100%,80%,50%,---,80%,100%,---,90%,90%,---,80%,---,---,---,"$28,304","$29,106",
Earlham College,IN,Richmond,Town: Distant,"2,075",No,Yes,73%,---,77%,70%,3.43,No,29.19%,10.05%,6.70%,12.92%,8.60%,---,16.27%,15.79%,24,26,33,34,---,---,27,21,---,24,---,---,25,28,---,9%,570,640,660,630,1250,1363,610,540,1178,23%,47%,50%,2%,7%,10%,72%,---,3%,---,7%,"$55,814","$55,814","$72,981",106,100,202,696,64%,77%,69%,"$36,114",100%,"$35,139","$26,517","$3,473","$5,352","$6,943","$6,491","$5,128","$14,825","$38,111",100%,100%,16%,16%,25%,100%,100%,50%,50%,5%,25%,"$29,101","$25,618","$22,527","$20,515","$18,306",
Eastern New Mexico University-Main Campus,NM,Portales,Town: Remote,"1,727",No,No,92%,---,---,92%,3.35,No,8.21%,15.84%,15.54%,17.89%,4.11%,---,16.13%,21.41%,17,18,23,22,---,---,17,15,---,16,---,---,17,23,---,14%,430,480,540,520,960,1070,480,400,850,51%,52%,48%,---,47%,6%,37%,3%,1%,1%,5%,"$7,074","$9,054","$21,252",274,294,490,"4,250",25%,62%,39%,---,---,"$1,784","$6,683",$750,"$4,837","$7,581","$4,831","$4,491","$6,799","$10,663",98%,98%,33%,91%,50%,98%,38%,19%,19%,1%,50%,"$11,849","$8,346","$7,332","$5,663","$4,722",
Eastern Oregon University,OR,La Grande,Town: Remote,"1,599",No,Yes,98%,---,---,98%,3.47,No,13.62%,21.59%,13.95%,13.62%,1.33%,---,16.61%,19.27%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,58%,42%,---,15%,2%,65%,2%,1%,4%,12%,"$11,607","$25,692","$28,117",123,170,267,"2,502",29%,71%,43%,"$2,601",82%,"$3,084","$17,219",$562,"$5,407","$3,991","$6,073","$5,127","$13,008","$7,251",100%,98%,14%,50%,40%,100%,94%,45%,46%,4%,40%,"$21,428","$20,701","$15,217","$12,341","$12,069",
Eastern Washington University,WA,Cheney,Town: Fringe,"6,340",No,No,94%,---,---,94%,3.27,No,3.44%,20%,13.48%,15.38%,9.45%,---,22.13%,15.97%,23,---,27,29,---,---,---,16,---,18,---,---,---,30,---,1.32%,440,---,480,598,---,---,---,513,---,5.50%,59%,41%,---,20%,5%,61%,1%,3%,---,10%,"$8,886","$26,073","$29,810",528,751,"1,340","6,951",27%,67%,43%,"$3,110",60%,"$3,403","$13,786","$1,284","$4,631","$5,263","$6,403","$4,641","$13,639","$8,756",97%,89%,14%,58%,43%,97%,73%,45%,46%,7%,43%,"$20,564","$18,464","$12,004","$8,788","$8,578",
Eastman School of Music (University of Rochester),---,Rochester,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Ecclesia College,AR,Springdale,Rural: Fringe,120,No,No,48%,---,---,48%,---,No,---,---,---,---,---,---,---,---,18,---,25,---,---,---,---,---,---,---,---,---,---,---,---,60%,---,---,---,---,---,---,---,---,---,---,39%,61%,---,16%,16%,55%,4%,4%,1%,3%,"$17,300","$17,300","$25,300",20,13,33,138,11%,41%,18%,---,---,"$4,138","$24,610","$5,116","$4,961",$625,"$5,523","$4,700","$7,331","$6,723",100%,100%,8%,11%,51%,100%,100%,54%,57%,8%,51%,"$26,719","$27,570","$24,160","$22,559","$21,791",
Eckerd College,FL,Saint Petersburg,City: Large,"5,071",No,Yes,76%,---,78%,74%,3.64,No,10.57%,34.04%,9.09%,16.07%,0.21%,---,2.11%,27.91%,24,26,29,31,---,---,25,22.75,---,20.75,---,---,25,27,---,16%,600,650,690,640,1260,1336,610,560,1150,26%,73%,27%,---,10%,3%,78%,---,2%,---,6%,"$53,436","$53,436","$73,062",127,346,537,"1,893",58%,76%,66%,"$19,528",84%,"$24,432","$40,122","$1,302","$5,122","$6,881","$10,970","$5,022","$23,756","$26,757",99%,99%,26%,13%,22%,99%,99%,53%,53%,13%,28%,"$37,419","$32,127","$30,034","$28,782","$26,746",
Edmonds College,WA,Lynnwood,Suburb: Large,"6,415",No,No,92%,---,---,92%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,52%,48%,---,16%,10%,38%,1%,16%,---,20%,"$4,953","$11,224","$28,515",194,207,---,"6,028",---,64%,---,---,---,$985,"$14,049","$1,685","$4,036","$3,492","$5,829","$5,184","$8,277","$6,234",52%,47%,19%,36%,30%,50%,21%,6%,7%,1%,33%,"$18,878","$18,161","$14,089","$12,004","$12,686",
Elizabethtown College,PA,Elizabethtown,Suburb: Large,"3,624",No,No,78%,---,---,78%,3.69,No,31.90%,26.10%,5%,11.80%,1.90%,---,5%,18.30%,25.5,27,29,31,---,---,27,22.5,---,23,---,---,24,31,---,1%,560,600,660,650,1180,1280,580,545,1090,30%,59%,41%,---,7%,3%,85%,---,2%,---,3%,"$39,370","$39,370","$55,330",205,289,529,"1,903",69%,84%,76%,"$19,635",98%,"$20,084","$27,019",$757,"$5,030","$4,199","$9,639","$5,438","$16,191","$22,312",100%,100%,15%,27%,21%,100%,100%,72%,72%,19%,21%,"$29,855","$25,608","$21,711","$19,414","$17,946",
Elmhurst University,IL,Elmhurst,Suburb: Large,"6,247",No,Yes,74%,---,96%,59%,3.59,No,24.31%,19.10%,10.07%,12.67%,1.91%,---,13.89%,18.06%,23,25,30,28,---,---,25,23,---,19,---,---,24,27,---,5%,510,550,640,620,1090,1210,540,480,960,23.40%,62%,38%,---,35%,6%,46%,---,9%,---,3%,"$44,883","$44,883","$66,947",221,355,607,"3,170",56%,80%,70%,---,---,"$23,492","$22,760",$951,"$5,330","$6,987","$7,227","$5,177","$16,304","$29,445",100%,99%,23%,47%,45%,99%,99%,54%,55%,7%,45%,"$28,795","$24,551","$20,115","$15,866","$14,641",
Elon University,NC,Elon,Suburb: Midsize,"18,105",Yes,Yes,66%,92%,56%,97%,3.85,No,56.46%,9.42%,6.74%,9.67%,0.18%,---,5.80%,11.73%,24,26,30,31,---,---,25,24,---,21,---,---,25,28,---,19%,580,620,670,650,1210,1305,590,540,1143,32%,60%,40%,---,7%,5%,77%,---,2%,---,8%,"$48,723","$48,723","$66,858",642,963,"1,677","6,452",79%,90%,84%,"$12,923",70%,"$16,389","$41,849",$602,"$5,007","$7,300","$11,746","$5,172","$31,244","$17,523",75%,69%,9%,5%,9%,72%,69%,28%,30%,7%,9%,"$48,382","$37,712","$32,133","$23,103","$27,108",
Embry-Riddle Aeronautical University-Prescott,AZ,Prescott,Rural: Fringe,"4,141",No,No,77%,---,---,77%,3.84,No,---,52%,9%,12%,1%,---,6%,20%,24,26,29,29,---,---,25,22,---,22,---,---,26,30,---,24.30%,580,630,680,690,1260,1360,630,563,1160,29.70%,30%,70%,---,17%,3%,59%,1%,7%,1%,13%,"$45,766","$45,766","$66,630",521,221,833,"3,229",46%,84%,68%,"$15,415",92%,"$18,082","$41,209","$2,917","$5,092",---,"$18,601","$5,222","$33,651","$18,949",98%,94%,5%,---,16%,95%,93%,44%,49%,20%,16%,"$42,052","$40,511","$37,944","$34,781","$37,016",
Emerson College,MA,Boston,City: Large,"11,091",Yes,Yes,47%,---,---,47%,3.73,No,---,---,---,---,---,---,---,---,30,31,33,35,---,---,34,32,---,26,---,---,28,30,---,7%,650,690,720,690,1340,1410,650,600,1250,20%,69%,31%,---,13%,6%,66%,---,7%,---,8%,"$59,044","$59,044","$87,516",310,687,997,"4,171",73%,88%,77%,"$14,378",58%,"$25,212","$50,703",$849,"$5,642","$4,148","$11,351","$5,501","$27,962","$26,447",81%,78%,7%,3%,15%,81%,78%,49%,50%,11%,15%,"$55,833","$43,628","$39,297","$34,742","$31,412",
Emmanuel College,GA,Franklin Springs,Town: Distant,461,No,No,53%,---,---,53%,3.4,No,11.30%,13%,10%,17%,14.40%,0.30%,15%,11%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,46%,54%,---,8%,15%,69%,---,1%,1%,6%,"$25,500","$25,500","$34,530",109,94,204,861,36%,57%,32%,"$3,703",64%,"$11,792","$19,006","$2,112","$5,048","$3,903","$6,517","$5,545","$8,750","$15,985",97%,97%,4%,61%,40%,97%,93%,49%,49%,5%,40%,"$21,250","$23,245","$17,824","$15,569","$18,134",
Emory University,GA,Atlanta,City: Large,"34,614",Yes,No,10%,23%,---,9%,3.84,No,17.41%,58.38%,0.44%,2.53%,---,---,---,21.24%,32,33,35,---,---,---,---,---,---,---,---,---,---,---,---,20%,720,740,760,790,1520,1550,780,750,1460,43%,56%,44%,---,14%,12%,36%,---,30%,---,8%,"$68,056","$68,056","$93,264",630,807,"1,426","7,407",80%,96%,91%,"$38,751",9%,"$48,648","$27,986","$2,000","$5,785","$6,646","$10,420","$5,180","$28,084","$50,828",52%,46%,8%,11%,16%,49%,44%,11%,12%,2%,16%,"$54,582","$21,124","$11,687","$8,640","$6,895",
Empire College,---,Santa Rosa,---,"2,011",---,---,96%,---,---,96%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,45%,2%,37%,2%,2%,3%,8%,"$15,000","$15,000","$55,380",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Endicott College,MA,Beverly,Suburb: Large,"5,562",Yes,Yes,72%,90%,87%,56%,3.64,No,26.09%,18.28%,11.03%,15.86%,0.69%,---,10.69%,17.36%,26,27,29,28,---,---,27,23,---,23,---,---,25,29,---,2%,590,640,680,660,1260,1340,620,570,1160,15%,68%,32%,---,6%,1%,86%,---,2%,---,5%,"$42,650","$42,650","$64,172",288,607,901,"3,176",75%,88%,78%,"$13,968",96%,"$16,501","$39,988",$955,"$4,942","$1,923","$16,520","$9,508","$23,615","$17,557",99%,98%,9%,12%,13%,99%,97%,71%,72%,22%,13%,"$42,234","$37,557","$33,068","$28,318","$29,799",
Ensign College,UT,Salt Lake City,City: Midsize,"1,270",No,No,38%,---,---,38%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,39%,61%,---,2%,---,13%,---,---,---,84%,"$4,128","$4,128","$19,849",272,177,---,"5,973",---,61%,---,---,---,"$1,391","$11,329",---,"$4,364",$621,"$4,766","$4,766",---,"$2,558",57%,55%,---,---,17%,57%,43%,9%,9%,---,17%,"$13,892","$12,257","$11,426","$9,601","$8,570",
Fairfield University,CT,Fairfield,Suburb: Large,"18,509",Yes,Yes,33%,80%,42%,9%,3.76,No,32.60%,20.90%,6.50%,13.40%,1%,---,4.80%,21.50%,29,30,32,---,---,---,---,---,---,---,---,---,---,---,---,5%,630,650,700,690,1310,1380,660,630,1240,14%,58%,42%,---,9%,1%,81%,---,2%,---,7%,"$60,410","$60,410","$82,610",611,849,"1,436","5,391",81%,91%,84%,"$23,408",96%,"$25,486","$47,630","$1,528","$5,432","$4,074","$9,784","$5,435","$28,191","$25,877",98%,95%,3%,1%,6%,98%,95%,53%,54%,8%,6%,"$49,644","$39,355","$35,003","$28,062","$32,161",
Fairleigh Dickinson University-Florham Campus,NJ,Madison,Suburb: Large,"4,455",No,No,95%,---,---,95%,3.39,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1%,---,---,---,---,---,---,---,---,---,1%,57%,43%,---,27%,11%,50%,---,5%,---,7%,"$38,564","$38,564","$60,422",220,286,512,"1,997",38%,77%,55%,---,---,"$19,825","$26,472","$1,029","$5,470","$11,509","$10,445","$5,243","$24,118","$25,882",99%,98%,23%,30%,39%,99%,98%,58%,61%,14%,39%,"$33,996","$29,164","$24,146","$17,253","$13,308",
Fairleigh Dickinson University-Metropolitan Campus,NJ,Teaneck,Suburb: Large,"4,259",Yes,---,96%,---,---,96%,3.31,No,---,29%,15%,15%,9%,---,17%,15%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1%,57%,43%,---,33%,13%,34%,---,6%,---,15%,"$38,544","$38,544","$62,417",496,652,606,"7,703",51%,76%,62%,"$14,796",43%,"$21,227","$17,121","$1,006","$5,497","$11,931","$7,405","$5,214","$21,075","$31,504",89%,88%,34%,45%,56%,88%,88%,44%,45%,5%,56%,"$27,494","$23,511","$14,926","$12,213","$12,150",
Faith International University,WA,Tacoma,City: Midsize,47,---,---,89%,---,---,89%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,33%,67%,---,16%,20%,46%,1%,9%,1%,8%,"$8,100","$8,100","$30,153",2,1,---,196,17%,67%,17%,---,---,$900,"$18,361",---,"$1,902",---,"$2,145","$2,145",---,"$2,432",75%,75%,---,---,50%,75%,75%,50%,50%,---,50%,---,"$19,893",---,---,"$17,595",
FIDM/Fashion Institute of Design & Merchandising-San Francisco,---,San Francisco,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,26%,8%,30%,1%,25%,5%,6%,---,---,---,---,---,---,98,---,91%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Fisk University,TN,Nashville,City: Large,"7,982",No,Yes,58%,---,---,58%,3.1,No,---,---,---,---,---,---,---,---,20,22,25,26,---,---,22,21,---,17,---,---,20,23,---,25%,590,635,700,780,1330,1480,695,570,1160,52%,70%,30%,---,1%,89%,---,---,1%,---,9%,"$26,582","$26,582","$38,490",94,220,320,950,51%,73%,56%,---,---,"$18,651","$19,836",---,"$5,350","$6,350","$7,252","$5,867","$18,113","$20,400",100%,96%,---,17%,52%,100%,85%,50%,56%,6%,52%,"$30,281","$35,437","$27,075","$24,865","$21,410",
Flagler College,FL,Saint Augustine,Suburb: Small,"5,004",---,---,81%,67%,---,82%,3.64,No,0.57%,22%,16.64%,22.12%,1.05%,---,19.47%,18.15%,19,22,25,25,---,---,22,18,---,16,---,---,19,22,---,21%,510,560,620,580,1090,1200,530,470,990,35%,71%,29%,---,15%,3%,72%,---,1%,---,9%,"$33,390","$33,390","$55,360",190,463,655,"2,409",45%,69%,56%,"$7,791",58%,"$7,074","$31,085",$784,"$5,116","$4,693","$8,989","$5,335","$18,450","$11,204",100%,100%,100%,48%,29%,100%,95%,61%,62%,12%,100%,"$35,920","$31,814","$25,428","$24,521","$22,668",
Florida Agricultural and Mechanical University,FL,Tallahassee,City: Midsize,"22,756",No,Yes,21%,---,---,21%,3.75,No,31.40%,19.40%,10.30%,15.30%,0.50%,---,2.60%,20.40%,19.5,22,24.25,24,---,---,21,19,---,17,---,---,20,23,---,44.90%,520,560,610,570,1090,1150,530,510,1030,82.80%,66%,34%,---,6%,89%,3%,---,---,---,2%,"$5,785","$17,725","$25,869",475,909,"1,391","7,890",28%,89%,53%,---,---,"$3,681","$15,491","$1,482","$5,700","$4,578","$6,274","$5,629","$10,908","$8,704",93%,79%,13%,37%,56%,89%,48%,55%,56%,4%,56%,"$21,999","$19,721","$17,489","$13,574","$13,203",
Florida Southern College,FL,Lakeland,City: Midsize,"10,862",Yes,Yes,59%,86%,79%,52%,3.73,No,35.60%,23.70%,5.70%,11.10%,---,---,3.20%,20.70%,25,27,30,30,---,---,27,24,---,23,---,---,25,28,---,21%,590,630,660,650,1240,1310,610,580,1170,25%,66%,34%,---,16%,7%,69%,---,3%,---,4%,"$42,360","$42,360","$60,800",216,424,640,"2,626",63%,78%,68%,"$24,864",100%,"$22,887","$30,462",$642,"$5,164","$4,772","$8,379","$5,309","$20,127","$26,704",100%,100%,14%,51%,28%,100%,99%,58%,59%,9%,28%,"$34,331","$30,479","$27,634","$25,913","$23,266",
Florida State University,FL,Tallahassee,City: Midsize,"78,272",No,Yes,24%,---,---,24%,3.71,No,87.60%,7.10%,0.70%,0.80%,0.10%,---,0.30%,3.40%,29,29,32,34,---,---,30,28,---,25,---,---,27,29,---,36.10%,640,660,710,700,1310,1390,650,630,1240,63.90%,57%,43%,---,24%,7%,59%,---,4%,---,6%,"$6,517","$21,683","$26,229","2,460","3,298","5,890","32,711",74%,96%,86%,"$4,447",27%,"$3,498","$14,903","$1,204","$5,824","$6,117","$6,850","$5,180","$14,943","$8,731",95%,86%,11%,79%,21%,89%,36%,20%,21%,3%,21%,"$17,910","$16,057","$11,131","$7,427","$5,777",
Foothill College,CA,Los Altos Hills,Suburb: Large,412,No,No,42%,---,---,42%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,50%,50%,---,34%,3%,29%,---,25%,1%,8%,"$1,557","$12,762","$31,227",367,372,---,"12,931",---,---,---,---,---,$858,"$9,665",$594,"$4,025","$2,212","$5,561","$5,561",---,"$4,298",62%,62%,15%,58%,25%,62%,7%,3%,3%,---,27%,"$14,191","$11,391","$9,954","$7,045","$6,428",
Fordham University,NY,Bronx,City: Large,"43,364",Yes,Yes,59%,52%,58%,61%,3.63,No,13%,30%,8%,15%,---,---,4%,30%,30,32,33,35,---,---,34,32,---,27,---,---,28,32,---,6%,660,700,730,750,1400,1490,700,660,1330,18%,61%,39%,---,23%,7%,48%,---,15%,---,7%,"$67,452","$67,452","$97,384",959,"1,526","2,426","10,582",75%,89%,82%,"$22,690",59%,"$30,590","$45,368","$1,712","$5,656","$4,912","$9,585","$5,266","$32,657","$33,278",94%,94%,15%,19%,23%,94%,94%,51%,52%,7%,23%,"$50,121","$41,753","$38,039","$33,504","$31,239",
Fort Lewis College,CO,Durango,Town: Distant,"4,241",---,Yes,93%,---,---,93%,3.36,No,14.82%,15.44%,15.19%,12.83%,5.23%,---,20.05%,16.31%,16,20,24,23,---,---,19,15,---,16,---,---,18,23,---,11%,530,560,640,620,1100,1220,540,530,980,19%,52%,48%,---,14%,1%,43%,29%,---,---,12%,"$9,958","$21,526","$28,982",382,415,815,"3,320",30%,63%,43%,"$5,559",49%,"$6,095","$16,074","$1,265","$5,078","$12,971","$5,681","$4,866","$13,372","$13,989",98%,97%,7%,56%,42%,98%,68%,36%,38%,3%,42%,"$16,310","$16,703","$19,105","$17,612","$17,272",
Franklin and Marshall College,PA,Lancaster,City: Small,"9,881",Yes,No,28%,28%,---,28%,---,---,---,---,---,---,---,---,---,---,30,31,33,35,---,---,33,29,---,27,---,---,28,31,---,9%,660,700,730,733,1390,1460,690,650,1298,25%,52%,48%,---,11%,6%,71%,---,7%,---,5%,"$73,210","$73,210","$92,696",228,249,553,"1,808",76%,90%,84%,"$19,876",65%,"$44,593","$37,475",$854,"$5,318","$3,842","$8,225","$5,132","$12,161","$45,764",71%,68%,10%,6%,10%,69%,68%,40%,50%,17%,10%,"$48,713","$28,353","$26,954","$18,539","$13,331",
Franklin University Switzerland,---,Sorengo (Lugano),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Franklin W. Olin College of Engineering,MA,Needham,Suburb: Large,928,---,---,24%,---,---,24%,3.9,No,---,79%,---,1%,---,---,---,20%,34,35,35,35,---,---,35,34,---,32,---,---,35,36,---,22%,720,750,770,790,1530,1560,780,760,1480,46%,50%,50%,---,11%,4%,48%,---,22%,---,16%,"$63,742","$63,742","$86,989",49,49,98,402,73%,99%,92%,"$30,069",100%,"$39,833","$40,370","$1,200","$5,619",---,"$10,155","$4,300","$29,277","$41,116",100%,100%,11%,---,21%,100%,100%,26%,26%,5%,21%,"$46,317","$21,098","$13,333","$4,690","$7,058",
Fremont University,---,Cerritos,---,152,---,---,100%,---,---,100%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,83%,17%,---,55%,18%,9%,---,5%,1%,13%,---,---,---,8,39,---,153,---,---,---,---,---,"$7,327","$32,304",$238,"$5,200","$2,007","$8,813","$8,813",---,"$5,650",81%,76%,60%,1%,72%,81%,8%,68%,68%,---,72%,---,"$34,353","$32,835","$29,806","$32,717",
Fresno Pacific University,CA,Fresno,City: Large,"1,516",No,No,58%,---,---,58%,3.54,No,---,---,---,---,---,---,---,---,18,---,24,---,---,---,---,---,---,---,---,---,---,---,---,47%,---,---,---,---,---,---,---,---,---,---,66%,34%,---,64%,6%,21%,1%,5%,1%,3%,"$36,660","$36,660","$52,378",70,137,207,"1,616",40%,81%,50%,"$13,121",100%,"$20,787","$15,668",$958,"$5,017","$8,088","$6,023","$4,600","$21,829","$27,472",99%,99%,4%,53%,45%,99%,99%,41%,43%,3%,45%,"$20,235","$15,205","$11,116","$11,874","$13,059",
Furman University,SC,Greenville,Suburb: Large,"10,813",Yes,Yes,43%,25%,56%,26%,3.67,No,19.70%,30.10%,9.40%,16.90%,---,---,2.80%,21.10%,28,30,32,35,---,---,32,29,---,26,---,---,28,31,---,21.88%,650,690,720,710,1350,1425,660,620,1260,27.30%,59%,41%,---,8%,6%,77%,---,4%,---,5%,"$61,444","$61,444","$82,258",251,354,620,"2,383",72%,91%,79%,"$31,388",81%,"$37,307","$32,901","$1,628","$5,210","$7,891","$9,717","$5,339","$21,034","$40,954",100%,100%,12%,36%,12%,100%,100%,30%,32%,7%,12%,"$37,271","$29,927","$24,978","$16,294","$16,190",
Gannon University,PA,Erie,City: Small,"6,547",No,No,74%,---,---,74%,3.6,No,---,58%,7%,8%,2%,---,9%,15%,21,---,27,28,---,---,---,21,---,19,---,---,---,28,---,6%,540,---,640,650,---,---,---,510,---,23%,58%,42%,---,7%,7%,74%,---,3%,---,8%,"$41,426","$41,426","$62,079",231,316,619,"2,768",53%,76%,67%,"$24,346",42%,"$24,458","$23,942","$3,600","$5,548","$4,174","$9,328","$5,508","$16,644","$27,483",83%,82%,2%,29%,24%,83%,82%,66%,68%,16%,25%,"$25,859","$25,316","$21,199","$17,863","$16,808",
George Fox University,OR,Newberg,Town: Fringe,"4,207",---,---,94%,---,---,94%,3.7,No,26.20%,31.02%,8.36%,12.61%,0.28%,---,5.38%,16.15%,20.1,23,29,28,---,---,23,19,---,19,---,---,20,27,---,4%,560,600,680,660,1180,1330,580,510,1070,8%,57%,43%,---,16%,2%,67%,1%,5%,1%,9%,"$44,490","$44,490","$64,948",305,403,603,"3,401",65%,83%,72%,"$22,216",96%,"$22,671","$30,649","$1,054","$5,129","$4,919","$8,758","$5,466","$18,652","$24,881",98%,97%,17%,19%,24%,98%,96%,63%,65%,12%,24%,"$34,826","$29,546","$25,491","$23,048","$19,909",
George Mason University,VA,Fairfax,Suburb: Large,"25,233",---,Yes,87%,---,---,87%,3.69,No,28%,23%,8%,19%,---,---,1%,22%,25,28,30,31,---,---,27,23,---,22,---,---,26,27,---,2%,580,630,680,680,1240,1340,610,580,1140,19%,47%,53%,---,19%,13%,33%,---,25%,---,9%,"$14,316","$39,312","$35,462","2,253","2,017","4,451","28,331",46%,86%,68%,"$8,892",52%,"$7,603","$18,900",$536,"$5,155","$5,508","$7,907","$5,084","$18,591","$11,311",80%,72%,15%,38%,28%,80%,59%,40%,41%,7%,28%,"$25,247","$20,394","$16,296","$13,383","$12,197",
